"","occurrence_no","record_type","reid_no","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","genus","genus_no","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","species_reso","genus_reso","late_interval"
"1:216",690124,"occurrence",NA,74175,"Tyrannosaurus rex","species",54833,"Tyrannosaurus rex","species",54833,"Maastrichtian",72.1,66,"54013;54013",-103.451668,45.062778,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","rex",NA,NA,NA
"1:217",692634,"occurrence",NA,14674,"Gorgosaurus cf. lancensis","species",57256,"Nanotyrannus lancensis","species",53213,"Late Maastrichtian",70.6,66,"2333;2333",-106.099998,47.799999,"Nanotyrannus",53212,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Gorgosaurus","lancensis",NA,"cf.",NA
"1:218",692635,"occurrence",NA,14674,"Tyrannosaurus rex","species",54833,"Tyrannosaurus rex","species",54833,"Late Maastrichtian",70.6,66,"2333;2333",-106.099998,47.799999,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","rex",NA,NA,NA
"1:219",698391,"occurrence",NA,75030,"Albertosaurus sp.","genus",38607,"Albertosaurus","genus",38607,"Middle Campanian",83.5,70.6,"25308;25308",-107.833336,50.5,"Albertosaurus",38607,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Albertosaurus","sp.",NA,NA,"Late Campanian"
"1:220",700704,"occurrence",NA,75284,"Tyrannosaurus rex","species",54833,"Tyrannosaurus rex","species",54833,"Lancian",70.6,66,"2236;2236",-106.890236,41.934753,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","rex",NA,NA,NA
"1:221",700705,"occurrence",NA,75284,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Lancian",70.6,66,"2236;2236",-106.890236,41.934753,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:222",700725,"occurrence",NA,75286,"Tyrannosaurus rex","species",54833,"Tyrannosaurus rex","species",54833,"Lancian",70.6,66,"2236;2236",-107,41.799999,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","rex",NA,NA,NA
"1:223",700805,"occurrence",NA,75294,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Lancian",70.6,66,"2236;2236",-106.853416,41.938137,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:224",700816,"occurrence",NA,75296,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Lancian",70.6,66,"2236;2236",-106.880623,41.938744,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:225",700858,"occurrence",NA,75299,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Lancian",70.6,66,"2236;2236",-106.886246,41.956051,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:226",702708,"occurrence",NA,75432,"Tyrannosaurus rex","species",54833,"Tyrannosaurus rex","species",54833,"Lancian",70.6,66,"2236;2236",-106.876312,41.939877,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","rex",NA,NA,NA
"1:227",702739,"occurrence",NA,75441,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Lancian",70.6,66,"2236;2236",-106.89241,41.939758,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:228",702767,"occurrence",NA,75446,"Tyrannosaurus rex","species",54833,"Tyrannosaurus rex","species",54833,"Lancian",70.6,66,"2236;2236",-106.88224,41.935326,"Tyrannosaurus",38613,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosaurus","rex",NA,NA,NA
"1:229",710079,"occurrence",NA,76062,"Daspletosaurus sp.","genus",38608,"Daspletosaurus","genus",38608,"Early Maastrichtian",70.6,66,"25756;25756",-113.545364,53.447811,"Daspletosaurus",38608,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Daspletosaurus","sp.",NA,NA,NA
"1:230",711286,"occurrence",NA,25073,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"25812;25812",-103.550003,29.200001,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
"1:231",715617,"occurrence",NA,69800,"Tyrannosauridae indet.","family",38606,"Tyrannosauridae","family",38606,"Late Campanian",83.5,70.6,"25969;25969",-101.156387,27.811943,NA,NA,"Tyrannosauridae",38606,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Tyrannosauridae","indet.",NA,NA,NA
