"","occurrence_no","record_type","collection_no","taxon_name","taxon_rank","taxon_no","matched_name","matched_rank","matched_no","early_interval","early_age","late_age","reference_no","lng","lat","family","family_no","order","order_no","class","class_no","phylum","phylum_no","genus_name","species_name","genus","genus_no","reid_no","genus_reso","late_interval","species_reso"
"1:725",1342709,"occurrence",105772,"Microraptor sp.","genus",68238,"Microraptor","genus",68238,"Aptian",125,113,"52405;52405",119.683296,40.650002,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Microraptor","sp.","Microraptor",68238,NA,NA,NA,NA
"1:726",1346308,"occurrence",91781,"Velociraptorinae ? indet.","subfamily",54553,"Velociraptorinae","subfamily",54553,"Late Campanian",83.5,66,"60638;60638",-2.021356,39.950359,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Velociraptorinae","indet.",NA,NA,NA,"?","Early Maastrichtian",NA
"1:727",1350013,"occurrence",65347,"Adasaurus n. gen. mongoliensis n. sp.","species",57261,"Adasaurus mongoliensis","species",57261,"Maastrichtian",72.1,66,"15004;15004",99.599998,43.540001,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Adasaurus","mongoliensis","Adasaurus",53027,NA,"n. gen.",NA,"n. sp."
"1:728",1350469,"occurrence",183109,"Dromaeosaurus cf. sp.","genus",38566,"Dromaeosaurus","genus",38566,"Maastrichtian",72.1,66,"61095;61095",-105.080002,45.66,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosaurus","sp.","Dromaeosaurus",38566,NA,"cf.",NA,NA
"1:729",1350470,"occurrence",183109,"Saurornitholestes cf. sp.","genus",38567,"Saurornitholestes","genus",38567,"Maastrichtian",72.1,66,"61095;61095",-105.080002,45.66,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Saurornitholestes","sp.","Saurornitholestes",38567,NA,"cf.",NA,NA
"1:730",1350471,"occurrence",183109,"Richardoestesia cf. isosceles","species",58875,"Richardoestesia isosceles","species",58875,"Maastrichtian",72.1,66,"61095;61095",-105.080002,45.66,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Richardoestesia","isosceles","Richardoestesia",58873,NA,"cf.",NA,NA
"1:731",1375643,"occurrence",187920,"Deinonychus aff. sp.","genus",38562,"Deinonychus","genus",38562,"Berriasian",145,129.4,"62874;62874",-38.316666,-6.733333,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Deinonychus","sp.","Deinonychus",38562,NA,"aff.","Hauterivian",NA
"1:732",1381573,"occurrence",189306,"Dromaeosauridae cf. indet.","family",38561,"Dromaeosauridae","family",38561,"Early Barremian",130,125.45,"63556;63556",-9.222222,38.414165,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,"cf.",NA,NA
"1:733",1386650,"occurrence",190544,"Halszkaraptor n. gen. escuilliei n. sp.","species",364104,"Halszkaraptor escuilliei","species",364104,"Campanian",83.6,72.1,"64073;64073",100.901947,43.664444,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Halszkaraptor","escuilliei","Halszkaraptor",364103,NA,"n. gen.",NA,"n. sp."
"1:734",1403475,"occurrence",193675,"Richardoestesia sp.","genus",58873,"Richardoestesia","genus",58873,"Late Maastrichtian",70.6,66,"65784;65784",23.092192,45.493622,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Richardoestesia","sp.","Richardoestesia",58873,NA,NA,NA,NA
"1:735",1407226,"occurrence",127186,"Zhenyuanlong n. gen. suni n. sp.","species",372131,"Zhenyuanlong suni","species",372131,"Barremian",129.4,113,"66074;66074",119.683296,40.650002,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Zhenyuanlong","suni","Zhenyuanlong",372130,NA,"n. gen.","Aptian","n. sp."
"1:736",1409255,"occurrence",14537,"Dromaeosaurus cf. sp.","genus",38566,"Dromaeosaurus","genus",38566,"Lancian",70.6,66,"66164;66164",-103.099998,45.5,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosaurus","sp.","Dromaeosaurus",38566,NA,"cf.",NA,NA
"1:737",1410249,"occurrence",97795,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Early Maastrichtian",70.6,66,"66250;66250",-108.066399,36.343899,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
"1:738",1411246,"occurrence",171027,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Maastrichtian",72.1,66,"66250;66250",-108.101944,36.343887,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
"1:739",1416070,"occurrence",14455,"Dromaeosauridae indet.","family",38561,"Dromaeosauridae","family",38561,"Judithian",83.5,70.6,"66642;66642",-74.300003,40.299999,"Dromaeosauridae",38561,"Avetheropoda",55483,"Saurischia",38505,"Chordata",33815,"Dromaeosauridae","indet.",NA,NA,NA,NA,NA,NA
